[0]   14:32:51 STEP        0 H=        0:00 +CPU= 11.250
[0]   14:32:52 STEP        1 H=        0:45 +CPU=  0.680
[0]   14:32:53 STEP        2 H=        1:30 +CPU=  0.701
[0]   14:32:53 STEP        3 H=        2:15 +CPU=  0.699
[0]   14:32:58 STEP        4 H=        3:00 +CPU=  4.696
[0]   14:32:59 STEP        5 H=        3:45 +CPU=  0.682
[0]   14:32:59 STEP        6 H=        4:30 +CPU=  0.694
[0]   14:33:00 STEP        7 H=        5:15 +CPU=  0.829
[0]   14:33:05 STEP        8 H=        6:00 +CPU=  4.753
[0]   14:33:06 STEP        9 H=        6:45 +CPU=  0.698
[0]   14:33:06 STEP       10 H=        7:30 +CPU=  0.700
[0]   14:33:07 STEP       11 H=        8:15 +CPU=  0.690
[0]   14:33:12 STEP       12 H=        9:00 +CPU=  4.651
[0]   14:33:12 STEP       13 H=        9:45 +CPU=  0.706
[0]   14:33:13 STEP       14 H=       10:30 +CPU=  0.699
[0]   14:33:14 STEP       15 H=       11:15 +CPU=  0.693
[0]   14:33:18 STEP       16 H=       12:00 +CPU=  4.676
[0]   14:33:19 STEP       17 H=       12:45 +CPU=  0.683
[0]   14:33:20 STEP       18 H=       13:30 +CPU=  0.699
[0]   14:33:21 STEP       19 H=       14:15 +CPU=  0.703
[0]   14:33:25 STEP       20 H=       15:00 +CPU=  4.677
[0]   14:33:26 STEP       21 H=       15:45 +CPU=  0.733
[0]   14:33:27 STEP       22 H=       16:30 +CPU=  0.705
[0]   14:33:27 STEP       23 H=       17:15 +CPU=  0.693
[0]   14:33:32 STEP       24 H=       18:00 +CPU=  4.680
[0]   14:33:33 STEP       25 H=       18:45 +CPU=  0.689
[0]   14:33:33 STEP       26 H=       19:30 +CPU=  0.713
[0]   14:33:34 STEP       27 H=       20:15 +CPU=  0.692
[0]   14:33:39 STEP       28 H=       21:00 +CPU=  4.672
[0]   14:33:39 STEP       29 H=       21:45 +CPU=  0.702
[0]   14:33:40 STEP       30 H=       22:30 +CPU=  0.710
[0]   14:33:41 STEP       31 H=       23:15 +CPU=  0.694
[0]   14:33:46 STEP       32 H=       24:00 +CPU=  4.705
[0]   14:33:46 STEP       33 H=       24:45 +CPU=  0.698
[0]   14:33:47 STEP       34 H=       25:30 +CPU=  0.710
[0]   14:33:48 STEP       35 H=       26:15 +CPU=  0.699
[0]   14:33:52 STEP       36 H=       27:00 +CPU=  4.659
[0]   14:33:53 STEP       37 H=       27:45 +CPU=  0.720
[0]   14:33:54 STEP       38 H=       28:30 +CPU=  0.726
[0]   14:33:55 STEP       39 H=       29:15 +CPU=  0.731
[0]   14:33:59 STEP       40 H=       30:00 +CPU=  4.686
[0]   14:34:00 STEP       41 H=       30:45 +CPU=  0.852
[0]   14:34:01 STEP       42 H=       31:30 +CPU=  0.726
[0]   14:34:01 STEP       43 H=       32:15 +CPU=  0.708
[0]   14:34:06 STEP       44 H=       33:00 +CPU=  4.702
[0]   14:34:07 STEP       45 H=       33:45 +CPU=  0.715
[0]   14:34:08 STEP       46 H=       34:30 +CPU=  0.751
[0]   14:34:08 STEP       47 H=       35:15 +CPU=  0.722
[0]   14:34:13 STEP       48 H=       36:00 +CPU=  4.693
[0]   14:34:14 STEP       49 H=       36:45 +CPU=  0.711
[0]   14:34:15 STEP       50 H=       37:30 +CPU=  0.744
[0]   14:34:15 STEP       51 H=       38:15 +CPU=  0.712
[0]   14:34:20 STEP       52 H=       39:00 +CPU=  4.697
[0]   14:34:21 STEP       53 H=       39:45 +CPU=  0.749
[0]   14:34:21 STEP       54 H=       40:30 +CPU=  0.726
[0]   14:34:22 STEP       55 H=       41:15 +CPU=  0.717
[0]   14:34:27 STEP       56 H=       42:00 +CPU=  4.756
[0]   14:34:28 STEP       57 H=       42:45 +CPU=  0.711
[0]   14:34:28 STEP       58 H=       43:30 +CPU=  0.719
[0]   14:34:29 STEP       59 H=       44:15 +CPU=  0.741
[0]   14:34:34 STEP       60 H=       45:00 +CPU=  4.735
[0]   14:34:35 STEP       61 H=       45:45 +CPU=  0.715
[0]   14:34:35 STEP       62 H=       46:30 +CPU=  0.722
[0]   14:34:36 STEP       63 H=       47:15 +CPU=  0.708
[0]   14:34:41 STEP       64 H=       48:00 +CPU=  4.677
[0]   14:34:41 STEP       65 H=       48:45 +CPU=  0.710
[0]   14:34:42 STEP       66 H=       49:30 +CPU=  0.724
[0]   14:34:43 STEP       67 H=       50:15 +CPU=  0.720
[0]   14:34:48 STEP       68 H=       51:00 +CPU=  4.695
[0]   14:34:48 STEP       69 H=       51:45 +CPU=  0.734
[0]   14:34:49 STEP       70 H=       52:30 +CPU=  0.725
[0]   14:34:50 STEP       71 H=       53:15 +CPU=  0.710
[0]   14:34:54 STEP       72 H=       54:00 +CPU=  4.684
[0]   14:34:55 STEP       73 H=       54:45 +CPU=  0.709
[0]   14:34:56 STEP       74 H=       55:30 +CPU=  0.723
[0]   14:34:57 STEP       75 H=       56:15 +CPU=  0.710
[0]   14:35:01 STEP       76 H=       57:00 +CPU=  4.773
[0]   14:35:02 STEP       77 H=       57:45 +CPU=  0.782
[0]   14:35:03 STEP       78 H=       58:30 +CPU=  0.728
[0]   14:35:04 STEP       79 H=       59:15 +CPU=  0.718
[0]   14:35:08 STEP       80 H=       60:00 +CPU=  4.702
[0]   14:35:09 STEP       81 H=       60:45 +CPU=  0.717
[0]   14:35:10 STEP       82 H=       61:30 +CPU=  0.762
[0]   14:35:10 STEP       83 H=       62:15 +CPU=  0.753
[0]   14:35:15 STEP       84 H=       63:00 +CPU=  4.835
[0]   14:35:16 STEP       85 H=       63:45 +CPU=  0.717
[0]   14:35:17 STEP       86 H=       64:30 +CPU=  0.754
[0]   14:35:18 STEP       87 H=       65:15 +CPU=  0.729
[0]   14:35:22 STEP       88 H=       66:00 +CPU=  4.695
[0]   14:35:23 STEP       89 H=       66:45 +CPU=  0.719
[0]   14:35:24 STEP       90 H=       67:30 +CPU=  0.735
[0]   14:35:24 STEP       91 H=       68:15 +CPU=  0.733
[0]   14:35:29 STEP       92 H=       69:00 +CPU=  4.711
[0]   14:35:30 STEP       93 H=       69:45 +CPU=  0.783
[0]   14:35:31 STEP       94 H=       70:30 +CPU=  0.728
[0]   14:35:31 STEP       95 H=       71:15 +CPU=  0.739
[0]   14:35:36 STEP       96 H=       72:00 +CPU=  4.707
[0]   14:35:37 STEP       97 H=       72:45 +CPU=  0.746
[0]   14:35:38 STEP       98 H=       73:30 +CPU=  0.725
[0]   14:35:38 STEP       99 H=       74:15 +CPU=  0.728
[0]   14:35:43 STEP      100 H=       75:00 +CPU=  4.702
[0]   14:35:44 STEP      101 H=       75:45 +CPU=  0.719
[0]   14:35:44 STEP      102 H=       76:30 +CPU=  0.745
[0]   14:35:45 STEP      103 H=       77:15 +CPU=  0.721
[0]   14:35:50 STEP      104 H=       78:00 +CPU=  4.724
[0]   14:35:51 STEP      105 H=       78:45 +CPU=  0.748
[0]   14:35:51 STEP      106 H=       79:30 +CPU=  0.729
[0]   14:35:52 STEP      107 H=       80:15 +CPU=  0.734
[0]   14:35:57 STEP      108 H=       81:00 +CPU=  4.707
[0]   14:35:57 STEP      109 H=       81:45 +CPU=  0.725
[0]   14:35:58 STEP      110 H=       82:30 +CPU=  0.732
[0]   14:35:59 STEP      111 H=       83:15 +CPU=  0.732
[0]   14:36:04 STEP      112 H=       84:00 +CPU=  4.802
[0]   14:36:04 STEP      113 H=       84:45 +CPU=  0.719
[0]   14:36:05 STEP      114 H=       85:30 +CPU=  0.742
[0]   14:36:06 STEP      115 H=       86:15 +CPU=  0.717
[0]   14:36:11 STEP      116 H=       87:00 +CPU=  4.772
[0]   14:36:11 STEP      117 H=       87:45 +CPU=  0.765
[0]   14:36:12 STEP      118 H=       88:30 +CPU=  0.731
[0]   14:36:13 STEP      119 H=       89:15 +CPU=  0.726
[0]   14:36:18 STEP      120 H=       90:00 +CPU=  4.735
[0]   14:36:18 STEP      121 H=       90:45 +CPU=  0.716
[0]   14:36:19 STEP      122 H=       91:30 +CPU=  0.731
[0]   14:36:20 STEP      123 H=       92:15 +CPU=  0.720
[0]   14:36:24 STEP      124 H=       93:00 +CPU=  4.695
[0]   14:36:25 STEP      125 H=       93:45 +CPU=  0.717
[0]   14:36:26 STEP      126 H=       94:30 +CPU=  0.762
[0]   14:36:27 STEP      127 H=       95:15 +CPU=  0.734
[0]   14:36:31 STEP      128 H=       96:00 +CPU=  4.713
[0]   14:36:32 STEP      129 H=       96:45 +CPU=  0.774
[0]   14:36:33 STEP      130 H=       97:30 +CPU=  0.785
[0]   14:36:34 STEP      131 H=       98:15 +CPU=  0.719
[0]   14:36:38 STEP      132 H=       99:00 +CPU=  4.717
[0]   14:36:39 STEP      133 H=       99:45 +CPU=  0.735
[0]   14:36:40 STEP      134 H=      100:30 +CPU=  0.780
[0]   14:36:41 STEP      135 H=      101:15 +CPU=  0.721
[0]   14:36:45 STEP      136 H=      102:00 +CPU=  4.752
[0]   14:36:46 STEP      137 H=      102:45 +CPU=  0.778
[0]   14:36:47 STEP      138 H=      103:30 +CPU=  0.734
[0]   14:36:48 STEP      139 H=      104:15 +CPU=  0.745
[0]   14:36:52 STEP      140 H=      105:00 +CPU=  4.728
[0]   14:36:53 STEP      141 H=      105:45 +CPU=  0.739
[0]   14:36:54 STEP      142 H=      106:30 +CPU=  0.739
[0]   14:36:55 STEP      143 H=      107:15 +CPU=  0.752
[0]   14:36:59 STEP      144 H=      108:00 +CPU=  4.737
[0]   14:37:00 STEP      145 H=      108:45 +CPU=  0.855
[0]   14:37:01 STEP      146 H=      109:30 +CPU=  0.733
[0]   14:37:02 STEP      147 H=      110:15 +CPU=  0.745
[0]   14:37:06 STEP      148 H=      111:00 +CPU=  4.742
[0]   14:37:07 STEP      149 H=      111:45 +CPU=  0.727
[0]   14:37:08 STEP      150 H=      112:30 +CPU=  0.735
[0]   14:37:09 STEP      151 H=      113:15 +CPU=  0.723
[0]   14:37:13 STEP      152 H=      114:00 +CPU=  4.760
[0]   14:37:14 STEP      153 H=      114:45 +CPU=  0.720
[0]   14:37:15 STEP      154 H=      115:30 +CPU=  0.731
[0]   14:37:16 STEP      155 H=      116:15 +CPU=  0.733
[0]   14:37:20 STEP      156 H=      117:00 +CPU=  4.769
[0]   14:37:21 STEP      157 H=      117:45 +CPU=  0.775
[0]   14:37:22 STEP      158 H=      118:30 +CPU=  0.734
[0]   14:37:23 STEP      159 H=      119:15 +CPU=  0.722
[0]   14:37:27 STEP      160 H=      120:00 +CPU=  4.752
[0]   14:37:28 STEP      161 H=      120:45 +CPU=  0.723
[0]   14:37:29 STEP      162 H=      121:30 +CPU=  0.733
[0]   14:37:29 STEP      163 H=      122:15 +CPU=  0.739
[0]   14:37:34 STEP      164 H=      123:00 +CPU=  4.729
[0]   14:37:35 STEP      165 H=      123:45 +CPU=  0.768
[0]   14:37:36 STEP      166 H=      124:30 +CPU=  0.734
[0]   14:37:36 STEP      167 H=      125:15 +CPU=  0.756
[0]   14:37:41 STEP      168 H=      126:00 +CPU=  4.708
[0]   14:37:42 STEP      169 H=      126:45 +CPU=  0.723
[0]   14:37:43 STEP      170 H=      127:30 +CPU=  0.739
[0]   14:37:43 STEP      171 H=      128:15 +CPU=  0.730
[0]   14:37:48 STEP      172 H=      129:00 +CPU=  4.706
[0]   14:37:49 STEP      173 H=      129:45 +CPU=  0.743
[0]   14:37:50 STEP      174 H=      130:30 +CPU=  0.744
[0]   14:37:50 STEP      175 H=      131:15 +CPU=  0.751
[0]   14:37:55 STEP      176 H=      132:00 +CPU=  4.710
[0]   14:37:56 STEP      177 H=      132:45 +CPU=  0.727
[0]   14:37:57 STEP      178 H=      133:30 +CPU=  0.741
[0]   14:37:57 STEP      179 H=      134:15 +CPU=  0.729
[0]   14:38:02 STEP      180 H=      135:00 +CPU=  4.787
[0]   14:38:03 STEP      181 H=      135:45 +CPU=  0.770
[0]   14:38:04 STEP      182 H=      136:30 +CPU=  0.750
[0]   14:38:04 STEP      183 H=      137:15 +CPU=  0.728
[0]   14:38:09 STEP      184 H=      138:00 +CPU=  4.711
[0]   14:38:10 STEP      185 H=      138:45 +CPU=  0.842
[0]   14:38:11 STEP      186 H=      139:30 +CPU=  0.738
[0]   14:38:11 STEP      187 H=      140:15 +CPU=  0.730
[0]   14:38:16 STEP      188 H=      141:00 +CPU=  4.715
[0]   14:38:17 STEP      189 H=      141:45 +CPU=  0.734
[0]   14:38:17 STEP      190 H=      142:30 +CPU=  0.738
[0]   14:38:18 STEP      191 H=      143:15 +CPU=  0.734
[0]   14:38:23 STEP      192 H=      144:00 +CPU=  4.758
[0]   14:38:24 STEP      193 H=      144:45 +CPU=  0.776
[0]   14:38:25 STEP      194 H=      145:30 +CPU=  0.739
[0]   14:38:25 STEP      195 H=      146:15 +CPU=  0.728
[0]   14:38:30 STEP      196 H=      147:00 +CPU=  4.744
[0]   14:38:31 STEP      197 H=      147:45 +CPU=  0.772
[0]   14:38:32 STEP      198 H=      148:30 +CPU=  0.758
[0]   14:38:32 STEP      199 H=      149:15 +CPU=  0.733
[0]   14:38:37 STEP      200 H=      150:00 +CPU=  4.723
[0]   14:38:38 STEP      201 H=      150:45 +CPU=  0.730
[0]   14:38:39 STEP      202 H=      151:30 +CPU=  0.744
[0]   14:38:39 STEP      203 H=      152:15 +CPU=  0.732
[0]   14:38:44 STEP      204 H=      153:00 +CPU=  4.747
[0]   14:38:45 STEP      205 H=      153:45 +CPU=  0.753
[0]   14:38:46 STEP      206 H=      154:30 +CPU=  0.757
[0]   14:38:46 STEP      207 H=      155:15 +CPU=  0.758
[0]   14:38:51 STEP      208 H=      156:00 +CPU=  4.801
[0]   14:38:52 STEP      209 H=      156:45 +CPU=  0.738
[0]   14:38:53 STEP      210 H=      157:30 +CPU=  0.782
[0]   14:38:53 STEP      211 H=      158:15 +CPU=  0.731
[0]   14:38:58 STEP      212 H=      159:00 +CPU=  4.798
[0]   14:38:59 STEP      213 H=      159:45 +CPU=  0.731
[0]   14:39:00 STEP      214 H=      160:30 +CPU=  0.774
[0]   14:39:00 STEP      215 H=      161:15 +CPU=  0.803
[0]   14:39:05 STEP      216 H=      162:00 +CPU=  4.780
[0]   14:39:06 STEP      217 H=      162:45 +CPU=  0.771
[0]   14:39:07 STEP      218 H=      163:30 +CPU=  0.745
[0]   14:39:07 STEP      219 H=      164:15 +CPU=  0.727
[0]   14:39:12 STEP      220 H=      165:00 +CPU=  4.767
[0]   14:39:13 STEP      221 H=      165:45 +CPU=  0.778
[0]   14:39:14 STEP      222 H=      166:30 +CPU=  0.740
[0]   14:39:14 STEP      223 H=      167:15 +CPU=  0.728
[0]   14:39:19 STEP      224 H=      168:00 +CPU=  4.769
[0]   14:39:20 STEP      225 H=      168:45 +CPU=  0.769
[0]   14:39:21 STEP      226 H=      169:30 +CPU=  0.764
[0]   14:39:21 STEP      227 H=      170:15 +CPU=  0.726
[0]   14:39:26 STEP      228 H=      171:00 +CPU=  4.854
[0]   14:39:27 STEP      229 H=      171:45 +CPU=  0.779
[0]   14:39:28 STEP      230 H=      172:30 +CPU=  0.748
[0]   14:39:29 STEP      231 H=      173:15 +CPU=  0.724
[0]   14:39:33 STEP      232 H=      174:00 +CPU=  4.746
[0]   14:39:34 STEP      233 H=      174:45 +CPU=  0.772
[0]   14:39:35 STEP      234 H=      175:30 +CPU=  0.741
[0]   14:39:36 STEP      235 H=      176:15 +CPU=  0.728
[0]   14:39:40 STEP      236 H=      177:00 +CPU=  4.806
[0]   14:39:41 STEP      237 H=      177:45 +CPU=  0.735
[0]   14:39:42 STEP      238 H=      178:30 +CPU=  0.764
[0]   14:39:43 STEP      239 H=      179:15 +CPU=  0.732
